developer_name,oblast,project_area,project_name,project_price_uah,title,town,type_and_count
Park Residence,,"<div class=""CottagePrices-cell -area"">120 м²</div>,<div class=""CottagePrices-cell -area"">152 м²</div>,<div class=""CottagePrices-cell -area"">200 м²</div>,<div class=""CottagePrices-cell -area"">265 м²</div>,<div class=""CottagePrices-cell -area"">150 м²</div>,<div class=""CottagePrices-cell -area"">133 м²</div>,<div class=""CottagePrices-cell -area"">225 м²</div>,<div class=""CottagePrices-cell -area"">335 м²</div>,<div class=""CottagePrices-cell -area"">107 м²</div>,<div class=""CottagePrices-cell -area"">160 м²</div>,<div class=""CottagePrices-cell -area"">160 м²</div>,<div class=""CottagePrices-cell -area"">120 м²</div>,<div class=""CottagePrices-cell -area"">152 м²</div>,<div class=""CottagePrices-cell -area"">265 м²</div>,<div class=""CottagePrices-cell -area"">150 м²</div>,<div class=""CottagePrices-cell -area"">133 м²</div>,<div class=""CottagePrices-cell -area"">225 м²</div>,<div class=""CottagePrices-cell -area"">335 м²</div>,<div class=""CottagePrices-cell -area"">107 м²</div>,<div class=""CottagePrices-cell -area"">160 м²</div>,<div class=""CottagePrices-cell -area"">160 м²</div>,<div class=""CottagePrices-cell -area"">200 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 7</div>,<div class=""CottagePrices-cell -name"">Проєкт 13</div>,<div class=""CottagePrices-cell -name"">Проєкт 9</div>,<div class=""CottagePrices-cell -name"">Проєкт 11</div>,<div class=""CottagePrices-cell -name"">Проєкт 8</div>,<div class=""CottagePrices-cell -name"">Проєкт 9</div>,<div class=""CottagePrices-cell -name"">Проєкт 11</div>,<div class=""CottagePrices-cell -name"">Проєкт 14</div>,<div class=""CottagePrices-cell -name"">Проєкт 15</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проект 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 12</div>,<div class=""CottagePrices-cell -name"">Проєкт 16</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 6</div>,<div class=""CottagePrices-cell -name"">Проєкт 17</div>,<div class=""CottagePrices-cell -name"">Проєкт 5</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 10</div>,<div class=""CottagePrices-cell -name"">Проєкт 7</div>,<div class=""CottagePrices-cell -name"">Проєкт 13</div>,<div class=""CottagePrices-cell -name"">Проєкт 11</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проект 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 12</div>,<div class=""CottagePrices-cell -name"">Проєкт 16</div>,<div class=""CottagePrices-cell -name"">Проєкт 6</div>,<div class=""CottagePrices-cell -name"">Проєкт 17</div>,<div class=""CottagePrices-cell -name"">Проєкт 5</div>,<div class=""CottagePrices-cell -name"">Проєкт 9</div>","<div data-currency=""uah"" class="""">
                                                    6.55 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.01 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 11.55 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    14.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.85 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.85 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    7.7 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.35 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.24 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.43 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.55 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.01 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    14.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.85 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.85 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    7.7 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.35 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.24 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.43 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 11.55 млн грн
                                                </div>","
                КМ Park Residence 3
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>3</td>
                                            <td>26</td>
                                    </tr>
                            <tr>
                    <td>Дуплекси</td>
                                            <td>0</td>
                                            <td>2</td>
                                            <td>34</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>1</td>
                                            <td>38</td>
                                    </tr>
                        </table>"
,Бучанський р-н,"<div class=""CottagePrices-cell -area"">96 м²</div>,<div class=""CottagePrices-cell -area"">105 м²</div>,<div class=""CottagePrices-cell -area"">116 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>","<div data-currency=""uah"" class="""">
                                                    від 3.25 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.36 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.71 млн грн
                                                </div>","
                Таунхауси New Smart 17
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>23</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">97 м²</div>,<div class=""CottagePrices-cell -area"">97 м²</div>,<div class=""CottagePrices-cell -area"">96.7 м²</div>,<div class=""CottagePrices-cell -area"">96.6 м²</div>,<div class=""CottagePrices-cell -area"">96.7 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 5</div>,<div class=""CottagePrices-cell -name"">Проєкт 2 </div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 6</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>","<div data-currency=""uah"" class="""">
                                                    3.27 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.35 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.73 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.85 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    4.43 млн грн
                                                </div>","
                Таунхауси Gatne Country Club
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>6</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">104.8 м²</div>,<div class=""CottagePrices-cell -area"">104.8 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>","<div data-currency=""uah"" class="""">
                                                    3.16 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.16 млн грн
                                                </div>","
                КМ Villa Gatne 2
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Дуплекси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>2</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>11</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">105 м²</div>,<div class=""CottagePrices-cell -area"">105 м²</div>,<div class=""CottagePrices-cell -area"">105 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 1 (з ремонтом)</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 1 (з ремонтом)</div>,<div class=""CottagePrices-cell -name"">Проєкт 1 (з ремонтом)</div>","<div data-currency=""uah"" class="""">
                                                    від 4.12 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    5.2 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.12 млн грн
                                                </div>","
                КМ Chaletville
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>9</td>
                                            <td>0</td>
                                            <td>15</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>8</td>
                                            <td>3</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">108 м²</div>,<div class=""CottagePrices-cell -area"">108 м²</div>,<div class=""CottagePrices-cell -area"">108 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>","<div data-currency=""uah"" class="""">
                                                    від 3.27 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    3.47 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.27 млн грн
                                                </div>","
                КМ 10 Families
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>8</td>
                                            <td>0</td>
                                            <td>2</td>
                                    </tr>
                        </table>"
,Бучанський р-н,"<div class=""CottagePrices-cell -area"">185 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>","<div data-currency=""uah"" class="""">
                                                    10.01 млн грн
                                                </div>","
                КМ SHERWOOD
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>8</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">47 м²</div>,<div class=""CottagePrices-cell -area"">84.2 м²</div>,<div class=""CottagePrices-cell -area"">90 м²</div>","<div class=""CottagePrices-cell -name"">JOY </div>,<div class=""CottagePrices-cell -name"">BLISS</div>,<div class=""CottagePrices-cell -name"">LUCK</div>","<div data-currency=""uah"" class="""">
                                                    770 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    1.07 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    1.4 млн грн
                                                </div>","
                Таунхауси SMARTS
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>16</td>
                                    </tr>
                        </table>"
,Бучанський р-н,"<div class=""CottagePrices-cell -area"">92 м²</div>,<div class=""CottagePrices-cell -area"">106 м²</div>,<div class=""CottagePrices-cell -area"">101 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 2 </div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>","<div data-currency=""uah"" class="""">
                                                    від 2.27 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.5 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.85 млн грн
                                                </div>","
                Таунхауси GREAT HOME
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>10</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">100 м²</div>","<div class=""CottagePrices-cell -name"">Тип 3</div>,<div class=""CottagePrices-cell -name"">Тип 1</div>,<div class=""CottagePrices-cell -name"">Тип 1</div>,<div class=""CottagePrices-cell -name"">Тип 1</div>","<div data-currency=""uah"" class="""">
                                                    2.89 млн грн
                                                </div>","
                КМ Березневе
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>2</td>
                                    </tr>
                            <tr>
                    <td>Дуплекси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>4</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>8</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">67.34 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 1</div>","<div data-currency=""uah"" class="""">
                                                    1.92 млн грн
                                                </div>","
                Таунхауси West Homes
            ",Київ,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>5</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">226 м²</div>,<div class=""CottagePrices-cell -area"">222 м²</div>,<div class=""CottagePrices-cell -area"">230 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">338 м²</div>,<div class=""CottagePrices-cell -area"">226 м²</div>,<div class=""CottagePrices-cell -area"">222 м²</div>,<div class=""CottagePrices-cell -area"">230 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">338 м²</div>,<div class=""CottagePrices-cell -area"">226 м²</div>,<div class=""CottagePrices-cell -area"">222 м²</div>,<div class=""CottagePrices-cell -area"">230 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">338 м²</div>","<div class=""CottagePrices-cell -name"">RV8</div>,<div class=""CottagePrices-cell -name"">RV9</div>,<div class=""CottagePrices-cell -name"">RV7</div>,<div class=""CottagePrices-cell -name"">RV1</div>,<div class=""CottagePrices-cell -name"">RV6</div>,<div class=""CottagePrices-cell -name"">RV4</div>,<div class=""CottagePrices-cell -name"">RV10</div>,<div class=""CottagePrices-cell -name"">RV8</div>,<div class=""CottagePrices-cell -name"">RV9</div>,<div class=""CottagePrices-cell -name"">RV7</div>,<div class=""CottagePrices-cell -name"">RV1</div>,<div class=""CottagePrices-cell -name"">RV6</div>,<div class=""CottagePrices-cell -name"">RV8</div>,<div class=""CottagePrices-cell -name"">RV9</div>,<div class=""CottagePrices-cell -name"">RV7</div>,<div class=""CottagePrices-cell -name"">RV1</div>,<div class=""CottagePrices-cell -name"">RV6</div>","<div data-currency=""uah"" class="""">
                                                    від 13.69 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 13.69 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 14.38 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 20.45 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 21.49 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    15.21 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    15.21 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    15.98 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    22.72 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    23.87 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 13.69 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 13.69 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 14.38 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 20.45 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 21.49 млн грн
                                                </div>","
                КМ Marinero Residence
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>41</td>
                                            <td>8</td>
                                            <td>8</td>
                                    </tr>
                        </table>"
ProfiTHouse,,"<div class=""CottagePrices-cell -area"">120 м²</div>,<div class=""CottagePrices-cell -area"">63 м²</div>,<div class=""CottagePrices-cell -area"">63 м²</div>,<div class=""CottagePrices-cell -area"">120 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 6</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 5</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 6</div>","<div data-currency=""uah"" class="""">
                                                    від 4.12 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    1.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    1.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.12 млн грн
                                                </div>","
                Таунхауси ProfiTHouse
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Дуплекси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>0</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>43</td>
                                    </tr>
                        </table>"
AVM Development Group,,"<div class=""CottagePrices-cell -area"">5.52 соток</div>,<div class=""CottagePrices-cell -area"">5.79 соток</div>,<div class=""CottagePrices-cell -area"">9.21 соток</div>,<div class=""CottagePrices-cell -area"">9.23 соток</div>,<div class=""CottagePrices-cell -area"">10.26 соток</div>,<div class=""CottagePrices-cell -area"">11.95 соток</div>,<div class=""CottagePrices-cell -area"">12.2 соток</div>,<div class=""CottagePrices-cell -area"">12.2 соток</div>,<div class=""CottagePrices-cell -area"">12.48 соток</div>,<div class=""CottagePrices-cell -area"">12.73 соток</div>,<div class=""CottagePrices-cell -area"">13.03 соток</div>,<div class=""CottagePrices-cell -area"">13.1 соток</div>,<div class=""CottagePrices-cell -area"">13.44 соток</div>,<div class=""CottagePrices-cell -area"">13.44 соток</div>,<div class=""CottagePrices-cell -area"">13.8 соток</div>,<div class=""CottagePrices-cell -area"">14.32 соток</div>,<div class=""CottagePrices-cell -area"">15.24 соток</div>,<div class=""CottagePrices-cell -area"">15.45 соток</div>,<div class=""CottagePrices-cell -area"">15.81 соток</div>,<div class=""CottagePrices-cell -area"">15.87 соток</div>,<div class=""CottagePrices-cell -area"">15.97 соток</div>,<div class=""CottagePrices-cell -area"">16.07 соток</div>,<div class=""CottagePrices-cell -area"">16.2 соток</div>,<div class=""CottagePrices-cell -area"">16.25 соток</div>,<div class=""CottagePrices-cell -area"">17.87 соток</div>,<div class=""CottagePrices-cell -area"">18.43 соток</div>,<div class=""CottagePrices-cell -area"">19.4 соток</div>,<div class=""CottagePrices-cell -area"">24.25 соток</div>","<div class=""CottagePrices-cell -name"">Ділянка 14</div>,<div class=""CottagePrices-cell -name"">Ділянка 12</div>,<div class=""CottagePrices-cell -name"">Ділянка 22</div>,<div class=""CottagePrices-cell -name"">Ділянка 55</div>,<div class=""CottagePrices-cell -name"">Ділянка 72</div>,<div class=""CottagePrices-cell -name"">Ділянка 66</div>,<div class=""CottagePrices-cell -name"">Ділянка 65</div>,<div class=""CottagePrices-cell -name"">Ділянка 13</div>,<div class=""CottagePrices-cell -name"">Ділянка 67</div>,<div class=""CottagePrices-cell -name"">Ділянка 11</div>,<div class=""CottagePrices-cell -name"">Ділянка 70</div>,<div class=""CottagePrices-cell -name"">Ділянка 9</div>,<div class=""CottagePrices-cell -name"">Ділянка 71</div>,<div class=""CottagePrices-cell -name"">Ділянка 68</div>,<div class=""CottagePrices-cell -name"">Ділянка 52</div>,<div class=""CottagePrices-cell -name"">Ділянка 26</div>,<div class=""CottagePrices-cell -name"">Ділянка 69</div>,<div class=""CottagePrices-cell -name"">Ділянка 38</div>,<div class=""CottagePrices-cell -name"">Ділянка 46</div>,<div class=""CottagePrices-cell -name"">Ділянка 29</div>,<div class=""CottagePrices-cell -name"">Ділянка 25</div>,<div class=""CottagePrices-cell -name"">Ділянка 56</div>,<div class=""CottagePrices-cell -name"">Ділянка 31</div>,<div class=""CottagePrices-cell -name"">Ділянка 54</div>,<div class=""CottagePrices-cell -name"">Ділянка 36</div>,<div class=""CottagePrices-cell -name"">Ділянка 74</div>,<div class=""CottagePrices-cell -name"">Ділянка 32</div>,<div class=""CottagePrices-cell -name"">Ділянка 58</div>,<div class=""CottagePrices-cell -name"">Ділянка 43</div>,<div class=""CottagePrices-cell -name"">Ділянка 42</div>,<div class=""CottagePrices-cell -name"">Ділянка 44</div>,<div class=""CottagePrices-cell -name"">Ділянка 45</div>,<div class=""CottagePrices-cell -name"">Ділянка 41</div>,<div class=""CottagePrices-cell -name"">Ділянка 39</div>,<div class=""CottagePrices-cell -name"">Ділянка 37</div>,<div class=""CottagePrices-cell -name"">Ділянка 47</div>,<div class=""CottagePrices-cell -name"">Ділянка 48</div>,<div class=""CottagePrices-cell -name"">Ділянка 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 49</div>,<div class=""CottagePrices-cell -name"">Ділянка 50</div>,<div class=""CottagePrices-cell -name"">Ділянка 51</div>,<div class=""CottagePrices-cell -name"">Ділянка 53</div>,<div class=""CottagePrices-cell -name"">Ділянка 57</div>,<div class=""CottagePrices-cell -name"">Ділянка 34</div>,<div class=""CottagePrices-cell -name"">Ділянка 61</div>,<div class=""CottagePrices-cell -name"">Ділянка 62</div>,<div class=""CottagePrices-cell -name"">Ділянка 63</div>,<div class=""CottagePrices-cell -name"">Ділянка 64</div>,<div class=""CottagePrices-cell -name"">Ділянка 35</div>,<div class=""CottagePrices-cell -name"">Ділянка 23</div>,<div class=""CottagePrices-cell -name"">Ділянка 33</div>,<div class=""CottagePrices-cell -name"">Ділянка 60</div>,<div class=""CottagePrices-cell -name"">Ділянка 3</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>,<div class=""CottagePrices-cell -name"">Ділянка 5</div>,<div class=""CottagePrices-cell -name"">Ділянка 6</div>,<div class=""CottagePrices-cell -name"">Ділянка 7</div>,<div class=""CottagePrices-cell -name"">Ділянка 8</div>,<div class=""CottagePrices-cell -name"">Ділянка 10</div>,<div class=""CottagePrices-cell -name"">Ділянка 19</div>,<div class=""CottagePrices-cell -name"">Ділянка 29</div>,<div class=""CottagePrices-cell -name"">Ділянка 40</div>,<div class=""CottagePrices-cell -name"">Ділянка 59</div>,<div class=""CottagePrices-cell -name"">Ділянка 28</div>,<div class=""CottagePrices-cell -name"">Ділянка 30</div>,<div class=""CottagePrices-cell -name"">Ділянка 27</div>,<div class=""CottagePrices-cell -name"">Ділянка 24</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 21</div>,<div class=""CottagePrices-cell -name"">Ділянка 18</div>,<div class=""CottagePrices-cell -name"">Ділянка 20</div>,<div class=""CottagePrices-cell -name"">Ділянка 19в</div>,<div class=""CottagePrices-cell -name"">Ділянка 19б</div>,<div class=""CottagePrices-cell -name"">Ділянка 19а</div>,<div class=""CottagePrices-cell -name"">Ділянка 17</div>,<div class=""CottagePrices-cell -name"">Ділянка 16</div>,<div class=""CottagePrices-cell -name"">Ділянка 15</div>,<div class=""CottagePrices-cell -name"">Ділянка 73</div>","<div data-currency=""uah"" class="""">
                                                    від 1.59 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 1.67 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.66 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.67 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.96 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.45 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.52 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.52 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.6 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.68 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.76 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.78 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.88 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.88 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.99 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.14 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.4 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.46 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.57 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.58 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.61 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.64 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.68 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.69 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 5.16 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 5.32 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 5.6 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 7 млн грн
                                                </div>","
                КМ Нова Конча-Заспа CRYSTAL
            ",Київська область,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>Вільні</th>
                                    <th>Забудовуються</th>
                                    <th>Забудовані</th>
                            </tr>
                            <tr>
                    <td>Ділянки</td>
                                            <td>60</td>
                                            <td>6</td>
                                            <td>8</td>
                                    </tr>
                        </table>"
